datetime,arima_forecast,sarima_forecast,sarimax_forecast
2025-02-16 00:00:00,125.99999549790861,130.28339918032498,325.05671658913786
2025-02-16 01:00:00,125.99999549790861,167.73116534144012,362.9493934722907
2025-02-16 02:00:00,125.99999549790861,120.85823426321986,317.2638480409679
2025-02-16 03:00:00,125.99999549790861,152.82191724296612,347.97211421356474
2025-02-16 04:00:00,125.99999549790861,125.6604184931401,319.6953118687851
2025-02-16 05:00:00,125.99999549790861,72.22246848801582,267.92601786802686
2025-02-16 06:00:00,125.99999549790861,119.9486234471687,313.74329128481247
2025-02-16 07:00:00,125.99999549790861,121.6138231792385,318.2255331257694
2025-02-16 08:00:00,125.99999549790861,120.58201407675011,316.7986874015984
2025-02-16 09:00:00,125.99999549790861,166.13872809217108,361.0134777802623
2025-02-16 10:00:00,125.99999549790861,131.14481083509872,324.76719326371904
2025-02-16 11:00:00,125.99999549790861,168.7305325091538,363.94871512436737
